zip,city,state,latitude,longitude,timezone,dst,location
78426,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78427,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78460,Corpus Christi,TX,27.889868,-97.879743,-6,True,POINT(-97.879743 27.889868)
78461,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78463,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78465,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78466,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78467,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78468,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78469,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78470,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78471,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78472,Corpus Christi,TX,27.740225,-97.579207,-6,True,POINT(-97.579207 27.740225)
78473,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78474,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78475,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78476,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78477,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78478,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78480,Corpus Christi,TX,27.777,-97.463213,-6,True,POINT(-97.463213 27.777)
78501,Mcallen,TX,26.213105,-98.23579,-6,True,POINT(-98.23579 26.213105)
78502,Mcallen,TX,26.25671,-98.198929,-6,True,POINT(-98.198929 26.25671)
78503,Mcallen,TX,26.172018,-98.25042,-6,True,POINT(-98.25042 26.172018)
78504,Mcallen,TX,26.26273,-98.23082,-6,True,POINT(-98.23082 26.26273)
78505,Mcallen,TX,26.409709,-98.224206,-6,True,POINT(-98.224206 26.409709)
78512,Mission,TX,26.232613,-98.348534,-6,True,POINT(-98.348534 26.232613)
78516,Alamo,TX,26.175021,-98.11969,-6,True,POINT(-98.11969 26.175021)
78520,Brownsville,TX,25.928274,-97.51618,-6,True,POINT(-97.51618 25.928274)
78521,Brownsville,TX,25.918758,-97.42739,-6,True,POINT(-97.42739 25.918758)
78522,Brownsville,TX,26.188911,-97.764271,-6,True,POINT(-97.764271 26.188911)
78523,Brownsville,TX,25.981006,-97.520941,-6,True,POINT(-97.520941 25.981006)
78526,Brownsville,TX,25.969007,-97.47211,-6,True,POINT(-97.47211 25.969007)
78535,Combes,TX,26.245051,-97.74157,-6,True,POINT(-97.74157 26.245051)
78536,Delmita,TX,26.421394,-98.848757,-6,True,POINT(-98.848757 26.421394)
78537,Donna,TX,26.165352,-98.05568,-6,True,POINT(-98.05568 26.165352)
78538,Edcouch,TX,26.344688,-97.96961,-6,True,POINT(-97.96961 26.344688)
78539,Edinburg,TX,26.344128,-98.18011,-6,True,POINT(-98.18011 26.344128)
78540,Edinburg,TX,26.319405,-98.190922,-6,True,POINT(-98.190922 26.319405)
78541,Edinburg,TX,26.319427,-98.154881,-6,True,POINT(-98.154881 26.319427)
78543,Elsa,TX,26.298611,-97.99464,-6,True,POINT(-97.99464 26.298611)
78545,Falcon Heights,TX,26.561861,-99.13392,-6,True,POINT(-99.13392 26.561861)
78547,Garciasville,TX,26.321652,-98.69525,-6,True,POINT(-98.69525 26.321652)
78548,Grulla,TX,26.270824,-98.64891,-6,True,POINT(-98.64891 26.270824)
78549,Hargill,TX,26.44489,-98.01478,-6,True,POINT(-98.01478 26.44489)
78550,Harlingen,TX,26.206602,-97.68776,-6,True,POINT(-97.68776 26.206602)
78551,Harlingen,TX,26.244651,-97.720569,-6,True,POINT(-97.720569 26.244651)
78552,Harlingen,TX,26.195591,-97.75321,-6,True,POINT(-97.75321 26.195591)
78553,Harlingen,TX,26.125242,-97.475663,-6,True,POINT(-97.475663 26.125242)
78555,McAllen,TX,26.250709,-97.711367,-6,True,POINT(-97.711367 26.250709)
78557,Hidalgo,TX,26.105725,-98.24639,-6,True,POINT(-98.24639 26.105725)
78558,La Blanca,TX,26.305113,-98.03375,-6,True,POINT(-98.03375 26.305113)
78559,La Feria,TX,26.149453,-97.82923,-6,True,POINT(-97.82923 26.149453)
78560,La Joya,TX,26.244317,-98.49574,-6,True,POINT(-98.49574 26.244317)
78561,Lasara,TX,26.561287,-97.429952,-6,True,POINT(-97.429952 26.561287)
78562,La Villa,TX,26.301385,-97.92547,-6,True,POINT(-97.92547 26.301385)
78563,Linn,TX,26.633158,-98.21578,-6,True,POINT(-98.21578 26.633158)
78564,Lopeno,TX,26.945418,-99.203985,-6,True,POINT(-99.203985 26.945418)
78565,Los Ebanos,TX,26.247488,-98.55962,-6,True,POINT(-98.55962 26.247488)
78566,Los Fresnos,TX,26.099562,-97.43927,-6,True,POINT(-97.43927 26.099562)
78567,Los Indios,TX,26.041669,-97.693736,-6,True,POINT(-97.693736 26.041669)
78568,Lozano,TX,26.190402,-97.542263,-6,True,POINT(-97.542263 26.190402)
78569,Lyford,TX,26.39381,-97.7113,-6,True,POINT(-97.7113 26.39381)
78570,Mercedes,TX,26.169728,-97.91232,-6,True,POINT(-97.91232 26.169728)
78571,Salado,TX,30.916863,-97.485039,-6,True,POINT(-97.485039 30.916863)
78572,Mission,TX,26.234417,-98.34205,-6,True,POINT(-98.34205 26.234417)
78573,Mission,TX,26.409709,-98.224206,-6,True,POINT(-98.224206 26.409709)
78574,Sebastian,TX,26.244013,-98.31176,-6,True,POINT(-98.31176 26.244013)
78575,Olmito,TX,26.023905,-97.54457,-6,True,POINT(-97.54457 26.023905)
78576,Penitas,TX,26.24901,-98.45014,-6,True,POINT(-98.45014 26.24901)
78577,Pharr,TX,26.201284,-98.18619,-6,True,POINT(-98.18619 26.201284)
78578,Port Isabel,TX,26.080434,-97.25024,-6,True,POINT(-97.25024 26.080434)
78579,Progreso,TX,26.087777,-97.9719,-6,True,POINT(-97.9719 26.087777)
78580,Raymondville,TX,26.500175,-97.81013,-6,True,POINT(-97.81013 26.500175)
78582,Rio Grande City,TX,26.445982,-98.69332,-6,True,POINT(-98.69332 26.445982)
78583,Rio Hondo,TX,26.259032,-97.52948,-6,True,POINT(-97.52948 26.259032)
78584,Roma,TX,26.493058,-99.00718,-6,True,POINT(-99.00718 26.493058)
78585,Salineno,TX,26.510436,-98.746365,-6,True,POINT(-98.746365 26.510436)
78586,San Benito,TX,26.111261,-97.63519,-6,True,POINT(-97.63519 26.111261)
78587,La Victoria,TX,26.316452,-98.639793,-6,True,POINT(-98.639793 26.316452)
78588,San Isidro,TX,26.720155,-98.46845,-6,True,POINT(-98.46845 26.720155)
78589,San Juan,TX,26.190444,-98.15301,-6,True,POINT(-98.15301 26.190444)
78590,San Perlita,TX,26.455519,-97.585805,-6,True,POINT(-97.585805 26.455519)
78591,Santa Elena,TX,26.749896,-98.583016,-6,True,POINT(-98.583016 26.749896)
78592,Santa Maria,TX,26.078355,-97.84169,-6,True,POINT(-97.84169 26.078355)
78593,Santa Rosa,TX,26.27109,-97.82904,-6,True,POINT(-97.82904 26.27109)
78594,Sebastian,TX,26.344765,-97.80031,-6,True,POINT(-97.80031 26.344765)
78595,Sullivan City,TX,26.272363,-98.5587,-6,True,POINT(-98.5587 26.272363)
78596,Weslaco,TX,26.162609,-97.98512,-6,True,POINT(-97.98512 26.162609)
78597,South Padre Island,TX,26.117636,-97.17019,-6,True,POINT(-97.17019 26.117636)
78598,Port Mansfield,TX,26.558995,-97.42738,-6,True,POINT(-97.42738 26.558995)
78599,Weslaco,TX,26.409709,-98.224206,-6,True,POINT(-98.224206 26.409709)
78602,Bastrop,TX,30.120443,-97.30991,-6,True,POINT(-97.30991 30.120443)
78603,Bebe,TX,29.447211,-97.494649,-6,True,POINT(-97.494649 29.447211)
78604,Belmont,TX,29.447211,-97.494649,-6,True,POINT(-97.494649 29.447211)
78605,Bertram,TX,30.760216,-98.03579,-6,True,POINT(-98.03579 30.760216)
78606,Blanco,TX,30.096855,-98.43411,-6,True,POINT(-98.43411 30.096855)
78607,Bluffton,TX,30.833543,-98.47938,-6,True,POINT(-98.47938 30.833543)
78608,Briggs,TX,30.9306,-97.90929,-6,True,POINT(-97.90929 30.9306)
78609,Buchanan Dam,TX,30.744225,-98.43167,-6,True,POINT(-98.43167 30.744225)
78610,Buda,TX,30.07703,-97.8178,-6,True,POINT(-97.8178 30.07703)
78611,Burnet,TX,30.767327,-98.30109,-6,True,POINT(-98.30109 30.767327)
78612,Cedar Creek,TX,30.130116,-97.49055,-6,True,POINT(-97.49055 30.130116)
78613,Cedar Park,TX,30.501272,-97.83087,-6,True,POINT(-97.83087 30.501272)
78614,Cost,TX,29.406434,-97.5869,-6,True,POINT(-97.5869 29.406434)
78615,Coupland,TX,30.460373,-97.3935,-6,True,POINT(-97.3935 30.460373)
78616,Dale,TX,29.928764,-97.56317,-6,True,POINT(-97.56317 29.928764)
78617,Del Valle,TX,30.166225,-97.62496,-6,True,POINT(-97.62496 30.166225)
78618,Doss,TX,30.486818,-99.17526,-6,True,POINT(-99.17526 30.486818)
78619,Driftwood,TX,30.103644,-98.03875,-6,True,POINT(-98.03875 30.103644)
78620,Dripping Springs,TX,30.24108,-98.10753,-6,True,POINT(-98.10753 30.24108)
78621,Elgin,TX,30.338279,-97.36611,-6,True,POINT(-97.36611 30.338279)
78622,Fentress,TX,29.760052,-97.77727,-6,True,POINT(-97.77727 29.760052)
78623,Fischer,TX,29.960139,-98.21846,-6,True,POINT(-98.21846 29.960139)
78624,Fredericksburg,TX,30.279267,-98.88389,-6,True,POINT(-98.88389 30.279267)
78626,Georgetown,TX,30.643058,-97.64713,-6,True,POINT(-97.64713 30.643058)
78627,Georgetown,TX,30.673597,-97.646143,-6,True,POINT(-97.646143 30.673597)
78628,Georgetown,TX,30.674349,-97.72338,-6,True,POINT(-97.72338 30.674349)
78629,Gonzales,TX,29.510439,-97.45352,-6,True,POINT(-97.45352 29.510439)
78630,Cedar Park,TX,30.656817,-97.602552,-6,True,POINT(-97.602552 30.656817)
78631,Harper,TX,30.334152,-99.2956,-6,True,POINT(-99.2956 30.334152)
78632,Harwood,TX,29.698718,-97.45739,-6,True,POINT(-97.45739 29.698718)
78634,Hutto,TX,30.540874,-97.54611,-6,True,POINT(-97.54611 30.540874)
78635,Hye,TX,30.217838,-98.53788,-6,True,POINT(-98.53788 30.217838)
78636,Johnson City,TX,30.286655,-98.39837,-6,True,POINT(-98.39837 30.286655)
78638,Kingsbury,TX,29.655639,-97.77219,-6,True,POINT(-97.77219 29.655639)
78639,Kingsland,TX,30.663209,-98.44588,-6,True,POINT(-98.44588 30.663209)
78640,Kyle,TX,29.996916,-97.84756,-6,True,POINT(-97.84756 29.996916)
78641,Leander,TX,30.547001,-97.87006,-6,True,POINT(-97.87006 30.547001)
